Filename,PSNR_Before,SSIM_Before,PSNR_After,SSIM_After
00020349_011.png,23.904609843896132,0.5067516783179464,26.534918926142822,0.7451168504502406
00020361_000.png,22.120045542460097,0.37881445597043406,27.215220213816135,0.788049962862574
00020408_014.png,23.656003860204436,0.45821499305519076,26.856859587806916,0.7224413749957111
00020520_003.png,22.39929477148472,0.46770199889719893,26.05634436188945,0.7681324487313619
00020523_000.png,28.53570829427797,0.7889812236014403,26.974968142835117,0.7660277763457258
00020623_000.png,29.0303430601203,0.8396970561506208,26.425342783858667,0.7989601426199353
00020673_041.png,22.335225005938355,0.31851368789836265,28.03378160015042,0.83156954705359
00020680_005.png,21.483935060682064,0.378214459653613,25.901063935559648,0.7403234897146468
00020837_000.png,23.30775158020501,0.5025635941591877,25.081169969863225,0.7173676441951137
00020859_000.png,25.647443814816878,0.6152825038013768,27.2512677763617,0.7573210567179977
00020900_002.png,27.853162310318297,0.7387129156525323,26.90859081155072,0.7088271785211826
00020904_006.png,21.907602586686107,0.3837837151213797,26.11920824657025,0.7810690082417915
00021224_000.png,24.980771648473834,0.5899294620704387,26.456853145912458,0.7814013245669794
00021381_009.png,23.72178890094393,0.45160235679991895,26.692082595463663,0.7033039605802223
00021481_012.png,21.157138728257117,0.27603710515440844,27.76659870137572,0.8181749001333319
00021528_002.png,22.198277165600324,0.419539042678207,25.543329278255833,0.7600248909646397
00021578_000.png,23.716328244448036,0.48842269807675665,26.205346344770838,0.7501280522663122
00021586_000.png,25.17557687955691,0.55834255935225,27.089580438668747,0.745027622272192
00021610_000.png,27.068202534862902,0.7344350792404787,25.387302357490697,0.6580899487573396
00021610_034.png,24.910387956159393,0.5998641076632374,25.591845089483385,0.7038006239491624
00021616_009.png,27.61425434210036,0.7293470043100048,26.93558403182148,0.7654269406058573
00021687_002.png,25.37300812022275,0.6703308200752676,26.376288388307433,0.7906873039152582
00021736_000.png,22.31091096152717,0.4177409817315332,26.06433116098426,0.6916075804139858
00021770_011.png,23.375060810273215,0.3640350158978158,30.442280644767887,0.78385900995499
00021821_003.png,27.506265712188952,0.7767140153426794,25.86310551588757,0.7209185905602864
00021860_002.png,23.628232628536644,0.46509642028644366,27.149853961594488,0.7856316388465806
00021888_000.png,29.56632615541323,0.8282208513196051,27.685797051872303,0.7867245574085354
00021911_005.png,23.980640936929586,0.48380252398555623,26.369077764049734,0.735074114766311
00021917_000.png,22.745126019671392,0.5669235227320683,21.92611440365757,0.6875757163009344
00021988_005.png,22.604319328177546,0.4685796785476197,25.973818495971834,0.7271770021025548
00022098_010.png,24.06779695126785,0.3870152456820754,30.690243358343984,0.7965076246022486
00022335_011.png,22.64048065408553,0.4538084645629998,26.274209796419154,0.7410935577959065
00022526_006.png,23.39444240846361,0.4491976067393005,24.868296877817198,0.7048639607135004
00022578_001.png,22.092943396717978,0.4530718519233184,23.27219880309383,0.7618094753090981
00022611_005.png,21.445945842607404,0.34028954337402456,26.333220657622626,0.6771705812239197
00022684_006.png,22.96304309912947,0.4666981109198588,25.93086620276448,0.6861467847705486
00022813_000.png,23.84661251177029,0.430855486866572,27.906504037825766,0.8041776819781802
00022829_002.png,23.463327407628274,0.5122188100436325,25.5809102320327,0.7358004974108897
00022870_004.png,21.963331767528935,0.35971801704224665,26.571879816945287,0.7363482892920648
00022914_003.png,23.112415078301854,0.5107560715482504,26.205186411616623,0.7513700946126408
00023075_036.png,25.455426287325402,0.579266519150374,26.822690866721413,0.710338600238449
00023152_000.png,28.051848913575196,0.768161246861075,26.56968660461947,0.7354088032049504
00023309_007.png,22.26564789589872,0.4195835293025631,26.663024378247485,0.7417774523268952
00023309_018.png,25.749765355666007,0.6586643366205667,24.962541443001225,0.6533745773827918
00023320_000.png,25.81251515853678,0.6058917061531752,26.82789742398939,0.7152472050109026
00023325_019.png,25.534234917790858,0.5202941739221449,26.57692887590428,0.7217336528309571
00023487_007.png,22.312759717020597,0.403604734738432,26.84309449814055,0.7811966815583866
00023684_003.png,24.450561302205458,0.43080030833001154,29.85153512058927,0.803928011115721
00023982_000.png,30.898929005519108,0.8163560349017407,28.104347962139347,0.7504887723125999
00024843_000.png,26.183048784848815,0.6620141018856873,25.468928427510278,0.7707768523236181
00024885_000.png,27.037910903801926,0.7001056039862303,26.88281074683747,0.7535948817897858
00025094_000.png,24.684141356079824,0.5265684033694458,26.159214585203653,0.717998362614698
00025230_001.png,23.93732890302693,0.43920125806829147,27.582636644542816,0.7423423577417753
00025238_004.png,23.215686919289848,0.4933450512192663,26.345018191395305,0.7400790308506487
00025426_003.png,22.233421192561437,0.3884948440461722,25.509127954977764,0.7624039719557963
00025473_006.png,24.450404550819236,0.4811988164658226,26.684527620452112,0.6719775953888307
00025623_007.png,22.520091994272626,0.2989997000526269,30.831353476414716,0.8175615751434033
00025695_006.png,22.623277425316303,0.44150309475809196,26.1948093103388,0.7333904893438987
00025923_001.png,26.176117069735696,0.5969473315574595,27.048473411511974,0.7978587381118052
00025929_000.png,25.71468772204751,0.572994298550639,27.547188946592755,0.7803535817669287
00025964_004.png,28.573167207875926,0.7329834012330619,27.546483352522152,0.7356773851207371
00025977_007.png,26.566018457765384,0.6735729308309601,26.25173090534475,0.7096317732666191
00026318_000.png,30.118510766565212,0.7846431175759678,28.429240578139737,0.7728944049836839
00026333_000.png,22.80785476258181,0.48240035951371296,24.947408268376037,0.734382705157905
00026652_001.png,26.693740629053984,0.7182303429506615,25.651774866446008,0.6960443246627289
00026785_010.png,26.335522462847592,0.6222897438653147,28.168521039285658,0.7780366730843608
00026793_004.png,25.345247373215027,0.5896019968482841,26.893398950949376,0.773596078995552
00026876_003.png,24.31423652618458,0.4056987514685997,29.608942240836345,0.7995252025304902
00026928_001.png,21.582569602763158,0.38954718233389257,26.690567885086644,0.7586137953931346
00026994_002.png,22.903924366754453,0.39387123964485665,29.042474512321746,0.8068627533917516
00027073_000.png,30.87742375971629,0.8012107812500214,29.429119586612565,0.8193799599572524
00027199_006.png,24.25585468879543,0.4034300881057647,27.85778792329234,0.7561991441022274
00027213_076.png,21.933634749325552,0.3361841755768466,26.042048129648272,0.7104464865225767
00027389_010.png,20.955493733092393,0.34529565541638835,25.098359403335422,0.701583305762038
00027394_000.png,20.824121231475402,0.3194850845755895,24.533974376539796,0.6493063445384667
