Configuration,PSNR,SSIM,AUC
Without DnCNN (ESRGAN Only),27.70630025811394,0.7569127830192228,0.7565972078379386
Without ESRGAN (DnCNN Only),28.209336220701992,0.7750350955769194,0.7525995277352003
Full Pipeline,27.641179395714776,0.7727562802201083,0.7947719458138283
