Configuration,Accuracy,F1,AUC
Degraded,0.5895691609977324,0.563855421686747,0.6022411864617424
ESRGAN Only,0.6848072562358276,0.6650602409638554,0.7599113467832139
Full Pipeline,0.7210884353741497,0.6854219948849105,0.7958904677078587
